%Time, Value
12:51:28, 62.3
12:51:28, 58
12:51:28, 58.6
12:51:28, 70.8
12:51:28, 96.1
12:51:28, 112
12:51:28, 92.5
12:51:28, 53.3
12:51:28, 40.4
12:51:28, 70.1
12:51:28, 110
12:51:28, 121
12:51:28, 99.6
12:51:28, 68.1
12:51:28, 45.6
12:51:28, 39.2
12:51:28, 47.5
12:51:28, 56
12:51:28, 44.4
12:51:28, 16.8
12:51:28, 7.43
12:51:28, 39.4
12:51:28, 85.6
12:51:28, 95.4
12:51:28, 61.7
12:51:28, 32.8
12:51:28, 45.5
12:51:28, 76.6
12:51:28, 82.8
12:51:28, 64.7
12:51:28, 59
12:51:28, 78.6
12:51:28, 94
12:51:28, 79.1
12:51:28, 49.1
12:51:28, 35.2
12:51:28, 41.2
12:51:28, 45.4
12:51:28, 31.6
12:51:28, 7.25
12:51:28, -3.57
12:51:28, 20.8
12:51:28, 76.7
12:51:28, 129
12:51:28, 141
12:51:28, 118
12:51:28, 100
12:51:28, 111
12:51:28, 131
12:51:28, 130
12:51:28, 111
12:51:28, 101
12:51:28, 114
12:51:28, 126
12:51:28, 112
12:51:28, 80.9
12:51:28, 69
12:51:28, 71.8
12:51:28, 79.7
12:51:28, 85.9
12:51:28, 89.3
12:51:28, 81.4
12:51:28, 60.5
12:51:28, 43.3
12:51:28, 40
12:51:28, 42
12:51:28, 43.5
12:51:28, 46
12:51:28, 44.4
12:51:28, 35.4
12:51:28, 27.6
12:51:28, 29.2
12:51:28, 33.5
12:51:28, 31.4
12:51:28, 28.3
12:51:28, 37
12:51:28, 55.3
12:51:28, 64.6
12:51:28, 52.1
12:51:28, 25.6
12:51:28, 7.91
12:51:28, 16.4
12:51:28, 41.1
12:51:28, 51.3
12:51:28, 30.9
12:51:28, -2.87
12:51:28, -22.5
12:51:28, -15
12:51:28, 15.6
12:51:28, 51
12:51:28, 66.6
12:51:28, 54.5
12:51:28, 31.4
12:51:28, 18.3
12:51:28, 18.7
12:51:28, 24.8
12:51:28, 31.1
12:51:28, 33
12:51:28, 25.9
12:51:28, 14.5
12:51:28, 7.52
