%Time, Value
12:53:08, -390
12:53:08, -379
12:53:08, -393
12:53:08, -398
12:53:08, -373
12:53:08, -322
12:53:08, -293
12:53:08, -314
12:53:08, -354
12:53:08, -380
12:53:08, -362
12:53:08, -327
12:53:08, -296
12:53:08, -259
12:53:08, -242
12:53:08, -250
12:53:08, -260
12:53:08, -278
12:53:08, -294
12:53:08, -244
12:53:08, -162
12:53:08, -169
12:53:08, -212
12:53:08, -218
12:53:08, -201
12:53:08, -201
12:53:08, -216
12:53:08, -230
12:53:08, -204
12:53:08, -181
12:53:08, -186
12:53:08, -203
12:53:08, -210
12:53:08, -227
12:53:08, -246
12:53:08, -226
12:53:08, -186
12:53:08, -171
12:53:08, -172
12:53:08, -182
12:53:08, -200
12:53:08, -204
12:53:08, -180
12:53:08, -179
12:53:08, -173
12:53:08, -133
12:53:08, -121
12:53:08, -158
12:53:08, -203
12:53:08, -217
12:53:08, -218
12:53:08, -173
12:53:08, -109
12:53:08, -93
12:53:08, -113
12:53:08, -108
12:53:08, -81
12:53:08, -54
12:53:08, 3
12:53:08, 71
12:53:08, 80
12:53:08, 43
12:53:08, 16
12:53:08, 34
12:53:08, 68
12:53:08, 71
12:53:08, 33
12:53:08, 25
12:53:08, 67
12:53:08, 76
12:53:08, 42
12:53:08, 38
12:53:08, 55
12:53:08, 58
12:53:08, 77
12:53:08, 108
12:53:08, 140
12:53:08, 131
12:53:08, 109
12:53:08, 114
12:53:08, 115
12:53:08, 80
12:53:08, 73
12:53:08, 124
12:53:08, 180
12:53:08, 193
12:53:08, 162
12:53:08, 137
12:53:08, 115
12:53:08, 101
12:53:08, 121
12:53:08, 146
12:53:08, 176
12:53:08, 186
12:53:08, 162
12:53:08, 135
12:53:08, 109
12:53:08, 149
12:53:08, 168
12:53:08, 138
12:53:09, 170
12:53:09, 214
12:53:09, 182
12:53:09, 141
12:53:09, 136
12:53:09, 141
12:53:09, 133
12:53:09, 117
12:53:09, 81
12:53:09, 60
12:53:09, 91
12:53:09, 132
12:53:09, 160
12:53:09, 164
12:53:09, 179
12:53:09, 202
12:53:09, 208
12:53:09, 197
12:53:09, 173
12:53:09, 153
12:53:09, 154
12:53:09, 193
12:53:09, 232
12:53:09, 232
12:53:09, 192
12:53:09, 172
12:53:09, 226
12:53:09, 299
12:53:09, 330
12:53:09, 312
12:53:09, 280
12:53:09, 266
12:53:09, 283
12:53:09, 277
12:53:09, 234
12:53:09, 205
12:53:09, 224
